Categoría: Todas las categorías

Día,sismo: (Chile),temblor: (Chile),terremoto: (Chile)
2023-01-01,3,4,3
2023-01-02,2,3,4
2023-01-03,2,2,3
2023-01-04,1,1,1
2023-01-05,3,9,2
2023-01-06,1,3,2
2023-01-07,2,3,3
2023-01-08,6,14,4
2023-01-09,2,4,4
2023-01-10,2,3,3
2023-01-11,1,2,2
2023-01-12,7,18,4
2023-01-13,2,3,2
2023-01-14,2,3,3
2023-01-15,3,5,3
2023-01-16,2,3,2
2023-01-17,<1,2,1
2023-01-18,<1,1,2
2023-01-19,0,1,1
2023-01-20,1,2,1
2023-01-21,6,8,6
2023-01-22,3,3,5
2023-01-23,1,2,2
2023-01-24,1,2,2
2023-01-25,<1,1,1
2023-01-26,<1,1,1
2023-01-27,1,1,1
2023-01-28,<1,1,2
2023-01-29,<1,1,2
2023-01-30,<1,2,1
2023-01-31,<1,2,1
2023-02-01,1,2,1
2023-02-02,1,2,2
2023-02-03,1,2,2
2023-02-04,2,4,3
2023-02-05,9,23,4
2023-02-06,3,3,36
2023-02-07,2,2,23
2023-02-08,1,2,23
2023-02-09,1,2,21
2023-02-10,1,1,15
2023-02-11,1,1,11
2023-02-12,1,1,9
2023-02-13,1,2,7
2023-02-14,1,1,6
2023-02-15,<1,1,5
2023-02-16,1,1,4
2023-02-17,1,1,3
2023-02-18,1,1,4
2023-02-19,1,2,5
2023-02-20,1,1,4
2023-02-21,1,1,4
2023-02-22,1,1,3
2023-02-23,2,4,4
2023-02-24,1,2,3
2023-02-25,4,13,3
2023-02-26,1,2,4
2023-02-27,1,2,6
2023-02-28,1,2,3
2023-03-01,<1,1,3
2023-03-02,1,1,3
2023-03-03,1,1,3
2023-03-04,1,1,3
2023-03-05,1,2,3
2023-03-06,1,3,2
2023-03-07,1,3,2
2023-03-08,1,3,1
2023-03-09,1,3,2
2023-03-10,1,3,3
2023-03-11,4,9,5
2023-03-12,1,2,2
2023-03-13,<1,1,2
2023-03-14,1,1,1
2023-03-15,1,1,2
2023-03-16,1,1,3
2023-03-17,1,1,2
2023-03-18,2,3,10
2023-03-19,1,2,13
2023-03-20,1,1,5
2023-03-21,30,100,56
2023-03-22,9,20,15
2023-03-23,3,6,6
2023-03-24,2,4,5
2023-03-25,2,4,5
2023-03-26,7,17,20
2023-03-27,1,2,2
2023-03-28,1,2,3
2023-03-29,1,1,2
2023-03-30,7,20,4
2023-03-31,3,5,3
2023-04-01,2,4,3
2023-04-02,2,3,4
2023-04-03,1,2,3
2023-04-04,4,9,6
2023-04-05,2,4,3
2023-04-06,1,1,2
2023-04-07,1,2,2
2023-04-08,1,1,1
2023-04-09,1,1,2
2023-04-10,3,7,2
2023-04-11,1,2,2
2023-04-12,1,1,1
2023-04-13,1,1,2
2023-04-14,1,1,1
2023-04-15,<1,1,2
2023-04-16,1,1,1
2023-04-17,1,1,1
2023-04-18,<1,1,3
2023-04-19,1,1,3
2023-04-20,1,1,2
2023-04-21,<1,1,2
2023-04-22,1,2,3
2023-04-23,2,2,4
2023-04-24,3,7,4
2023-04-25,2,3,3
2023-04-26,2,2,3
2023-04-27,10,21,5
2023-04-28,1,3,2
2023-04-29,1,2,2
2023-04-30,1,2,2
2023-05-01,1,1,2
2023-05-02,1,1,1
2023-05-03,1,1,1
2023-05-04,3,8,2
2023-05-05,1,2,1
2023-05-06,<1,1,4
2023-05-07,1,2,3
2023-05-08,1,2,1
2023-05-09,<1,1,1
2023-05-10,<1,1,1
2023-05-11,1,1,3
2023-05-12,1,2,3
2023-05-13,3,6,3
