Fecha,Profundidad,Magnitud,Latitud X,Longitud Y,Region
2023-01-01,240,3.8,-21.998,-67.62,Potosí
2023-01-01,101,2.7,-20.465,-68.985,Región de Tarapacá
2023-01-01,86,2.7,-22.838,-68.821,Región de Antofagasta
2023-01-01,98,2.8,-20.16,-69.144,Región de Tarapacá
2023-01-01,149,3.8,-24.523,-68.002,Salta
2023-01-01,98,3.0,-32.919,-70.604,Región de Valparaíso
2023-01-01,92,3.9,-21.206,-69.046,Región de Tarapacá
2023-01-01,106,4.8,-22.992,-68.956,Región de Antofagasta
2023-01-01,54,2.5,-19.184,-70.093,Región de Tarapacá
2023-01-01,101,3.0,-20.893,-68.857,Región de Tarapacá
2023-01-01,97,2.5,-23.526,-68.729,Región de Antofagasta
2023-01-01,34,2.5,-24.379,-70.322,Región de Antofagasta
2023-01-01,90,2.5,-27.188,-69.99,Región de Atacama
2023-01-01,115,2.7,-21.856,-68.7,Región de Antofagasta
2023-01-01,64,2.5,-34.454,-71.311,Región del Libertador General Bernardo O'Higgins
2023-01-01,242,3.2,-24.254,-67.769,Salta
2023-01-01,40,2.6,-25.573,-70.903,
2023-01-01,25,2.5,-34.525,-72.25,
2023-01-01,112,3.2,-20.441,-69.037,Región de Tarapacá
2023-01-01,288,2.9,-24.175,-67.728,Región de Antofagasta
2023-01-01,42,2.6,-28.804,-71.339,Región de Atacama
2023-01-01,258,2.5,-23.541,-67.523,Región de Antofagasta
2023-01-02,105,3.2,-20.625,-68.92,Región de Tarapacá
2023-01-02,243,3.4,-23.587,-67.407,Región de Antofagasta
2023-01-02,129,2.9,-30.677,-69.598,San Juan
2023-01-02,22,2.9,-30.453,-71.518,Región de Coquimbo
2023-01-02,32,2.5,-30.44,-71.609,Región de Coquimbo
2023-01-02,33,3.9,-30.439,-71.636,Región de Coquimbo
2023-01-02,94,3.0,-35.343,-71.271,Región del Maule
2023-01-02,47,3.1,-33.551,-72.893,
2023-01-02,107,2.7,-21.111,-68.983,Región de Tarapacá
2023-01-02,45,2.7,-35.391,-71.956,Región del Maule
2023-01-02,37,3.4,-30.278,-71.733,
2023-01-02,29,2.9,-30.433,-71.634,Región de Coquimbo
2023-01-02,32,3.3,-30.461,-71.592,Región de Coquimbo
2023-01-02,91,3.2,-20.051,-69.201,Región de Tarapacá
2023-01-02,38,3.1,-36.943,-72.801,Región del Biobío
2023-01-02,200,3.6,-24.329,-67.345,Salta
2023-01-02,94,2.7,-19.939,-69.178,Región de Tarapacá
2023-01-02,116,3.2,-32.596,-70.159,Mendoza
2023-01-02,175,3.2,-21.127,-67.991,Potosí
2023-01-03,64,3.0,-29.841,-71.647,
2023-01-03,102,2.6,-22.717,-69.063,Región de Antofagasta
2023-01-03,85,2.6,-22.678,-68.822,Región de Antofagasta
2023-01-03,107,2.5,-20.923,-68.804,Región de Tarapacá
2023-01-03,103,2.5,-20.676,-68.887,Región de Tarapacá
2023-01-03,109,2.9,-21.294,-68.812,Región de Antofagasta
2023-01-03,78,2.7,-24.637,-69.493,Región de Antofagasta
2023-01-03,245,3.8,-23.97,-67.278,Salta
2023-01-03,48,3.3,-26.042,-70.659,
2023-01-03,32,3.3,-35.38,-73.336,
2023-01-03,24,2.9,-34.425,-72.414,
2023-01-03,109,3.4,-23.452,-68.585,Región de Antofagasta
2023-01-03,34,2.8,-35.804,-73.189,
2023-01-03,39,2.7,-29.515,-71.412,
2023-01-03,91,3.6,-18.332,-70.099,Región de Arica y Parinacota
2023-01-04,126,5.1,-19.182,-69.079,Región de Tarapacá
2023-01-04,44,4.0,-30.783,-71.415,Región de Coquimbo
2023-01-04,32,3.8,-30.419,-71.898,
2023-01-04,113,2.6,-31.546,-70.567,Región de Coquimbo
2023-01-04,30,3.1,-33.512,-72.995,
2023-01-04,105,4.5,-23.005,-68.948,Región de Antofagasta
2023-01-04,5,3.0,-22.981,-70.67,
2023-01-04,119,3.0,-21.203,-68.814,Región de Tarapacá
2023-01-04,83,2.5,-27.36,-70.407,Región de Atacama
2023-01-04,82,2.8,-18.911,-69.808,Región de Arica y Parinacota
2023-01-05,78,2.6,-18.937,-70.094,Región de Arica y Parinacota
2023-01-05,62,4.2,-32.7,-71.239,Región de Valparaíso
2023-01-05,120,3.4,-19.864,-68.929,Región de Tarapacá
2023-01-05,106,3.0,-20.944,-68.995,Región de Tarapacá
2023-01-05,109,2.6,-21.173,-68.933,Región de Tarapacá
2023-01-05,86,3.0,-20.811,-69.108,Región de Tarapacá
2023-01-05,112,2.6,-29.301,-70.074,Región de Atacama
2023-01-05,105,2.6,-35.324,-70.893,Región del Maule
